seed,pop_size,crossover,crossover_prob,mutation,mutation_prob,F1,F2,F3
30,200,HUX,0.0,IM,0.05,2.0, 134.0, 21536.60069810438
30,200,HUX,0.0,IM,0.05,3.0, 98.0, 9442.890268870551
30,200,HUX,0.0,IM,0.05,1.0, 196.0, 67880.3635706255
30,200,HUX,0.0,IM,0.05,2.0, 132.0, 23911.862997881926
30,200,HUX,0.0,IM,0.05,7.0, 78.0, 5391.678885263456
30,200,HUX,0.0,IM,0.05,5.0, 82.0, 5978.13916086702
30,200,HUX,0.0,IM,0.05,6.0, 82.0, 5899.117767333966
30,200,HUX,0.0,IM,0.05,4.0, 86.0, 6830.604633521283
40,100,UX,0.7,BFM,0.1,1.0, 196.0, 67880.3635706255
40,100,UX,0.7,BFM,0.1,2.0, 134.0, 21536.60069810438
40,100,UX,0.7,BFM,0.1,3.0, 98.0, 9442.890268870551
40,100,UX,0.7,BFM,0.1,2.0, 132.0, 23911.862997881926
40,100,UX,0.7,BFM,0.1,4.0, 88.0, 7140.984939783078
40,100,UX,0.7,BFM,0.1,10.0, 78.0, 5322.706176732497
40,100,UX,0.7,BFM,0.1,4.0, 86.0, 7191.4970823983895
40,100,UX,0.7,BFM,0.1,6.0, 80.0, 5756.269093539919
40,100,UX,0.7,BFM,0.1,5.0, 82.0, 5978.13916086702
40,100,UX,0.7,BFM,0.1,7.0, 78.0, 5391.678885263456
